4 Jan 1999 - 27 July 2018,EUR/USD,GBP/USD,AUD/USD,USD/CAD,USD/CHF,SP500,DGS10
4/29/99,1.0591,1.6105,0.6583,1.467,1.519,1342.829956,5.22
4/30/99,1.0564,1.6085,0.662,1.4578,1.5257,1335.180054,5.36
5/3/99,1.0571,1.6083,0.664,1.4512,1.5252,1354.630005,5.38
5/4/99,1.0593,1.621,0.6625,1.454,1.517,1332,5.42
5/5/99,1.0724,1.6337,0.6614,1.4558,1.4975,1347.310059,5.4
5/6/99,1.0779,1.6377,0.669,1.4555,1.492,1332.050049,5.52
5/7/99,1.0781,1.635,0.6709,1.4585,1.491,1345,5.54
5/10/99,1.0787,1.63,0.6688,1.4605,1.4895,1340.300049,5.54
5/11/99,1.072,1.6215,0.6712,1.4538,1.4998,1355.609985,5.59
5/12/99,1.0666,1.6193,0.667,1.4608,1.5025,1364,5.51
5/13/99,1.0626,1.619,0.6679,1.4598,1.508,1367.560059,5.41
5/14/99,1.065,1.6175,0.6648,1.4635,1.5058,1337.800049,5.62
5/17/99,1.0672,1.6193,0.6662,1.4605,1.5013,1339.48999,5.66
5/18/99,1.0672,1.6203,0.6705,1.4607,1.503,1333.319946,5.68
5/19/99,1.0641,1.6175,0.6633,1.4661,1.505,1344.22998,5.6
5/20/99,1.063,1.6122,0.661,1.4658,1.5083,1338.829956,5.6
5/21/99,1.0577,1.602,0.6595,1.4595,1.5175,1330.290039,5.52
5/24/99,1.0593,1.5978,0.6595,1.4559,1.5115,1306.650024,5.5
5/25/99,1.0587,1.6021,0.658,1.4603,1.505,1284.400024,5.49
5/26/99,1.0471,1.5963,0.6492,1.472,1.522,1304.76001,5.55
5/27/99,1.0439,1.5957,0.6485,1.4755,1.5265,1281.410034,5.62
5/28/99,1.0422,1.602,0.6528,1.4725,1.528,1301.839966,5.64
6/1/99,1.0449,1.615,0.6415,1.483,1.523,1294.26001,5.78
6/2/99,1.0357,1.6075,0.6445,1.4805,1.5365,1294.810059,5.8
6/3/99,1.0355,1.6055,0.6477,1.4768,1.5375,1299.540039,5.8
6/4/99,1.0327,1.6074,0.6555,1.4696,1.5385,1327.75,5.82
6/7/99,1.0296,1.601,0.6583,1.4735,1.5425,1334.52002,5.81
6/8/99,1.0438,1.605,0.6586,1.47,1.525,1317.329956,5.83
6/9/99,1.045,1.6001,0.6585,1.4723,1.525,1318.640015,5.87
6/10/99,1.0477,1.6002,0.6625,1.462,1.524,1302.819946,5.92
6/11/99,1.0516,1.6085,0.6643,1.46,1.5195,1293.640015,6.02
6/14/99,1.0416,1.6075,0.663,1.4608,1.53,1294,5.98
6/15/99,1.042,1.595,0.658,1.4653,1.5315,1301.160034,5.98
6/16/99,1.0298,1.5862,0.6565,1.4585,1.5492,1330.410034,5.94
6/17/99,1.0329,1.5925,0.6575,1.461,1.5455,1339.900024,5.79
6/18/99,1.0368,1.5924,0.6533,1.4645,1.5412,1342.839966,5.84
6/21/99,1.0323,1.589,0.6508,1.4727,1.5458,1349,5.9
6/22/99,1.0323,1.5895,0.6535,1.4705,1.5455,1335.880005,5.94
6/23/99,1.0316,1.5787,0.6568,1.4735,1.5478,1333.060059,6
6/24/99,1.0372,1.5833,0.6582,1.471,1.5395,1315.780029,6.05
6/25/99,1.0448,1.5893,0.6618,1.4642,1.529,1315.310059,6.02
6/28/99,1.0373,1.5822,0.658,1.4695,1.5416,1331.349976,5.96
6/29/99,1.0337,1.5781,0.658,1.476,1.5495,1351.449951,5.93
6/30/99,1.031,1.5765,0.6611,1.4735,1.5555,1372.709961,5.81
