Mkt-RF,SMB,HML,SMALL LoBM-RF,ME1 BM2-RF,SMALL HiBM-RF,BIG LoBM-RF,ME2 BM2-RF,BIG HiBM-RF,RF
2.6,0.13,-0.57,3.1648,3.4548,1.8686,2.6237,2.6911,2.772,0.09
3.09,1.05,0.23,5.3213,4.0898,4.0809,2.5593,3.5307,4.2625,0.09
3.14,1.03,-0.49,4.9993,3.3931,4.0097,3.1724,2.9656,3.1834,0.09
1.82,-0.93,-0.91,0.4442,0.9258,0.1295,2.8484,0.1052,1.3457,0.08
5.13,2.07,1.75,6.8716,6.4448,8.712,5.2406,3.6826,6.9004,0.09
1.7,3.36,0.14,7.1611,4.5663,4.6019,0.7685,1.875,3.6055,0.09
1.48,0.04,-0.81,1.5832,1.8891,0.4771,1.4903,1.3715,0.9793,0.09
1.26,-1.41,-2.77,2.34,-1.2095,-2.0436,1.8199,0.8328,0.673,0.1
3.94,1.99,1.34,5.7035,5.269,7.4134,4.2612,2.9217,5.2366,0.09
4.31,-2.12,0.46,1.5064,2.6917,2.929,4.5373,4.9171,4.025,0.1
-5.94,-2.38,-0.78,-7.1224,-7.961,-9.1471,-5.5526,-6.4491,-5.0919,0.1
1.36,0.51,13.66,0.6491,3.2806,11.4039,-3.5686,4.3656,13.0049,0.1
4.85,0.73,-1.41,4.2762,5.4535,4.9765,5.9983,4.0287,2.4766,0.1
4.81,0.57,-1.11,5.8972,4.803,4.8761,5.6662,3.7296,4.4636,0.1
-0.18,-0.58,1.44,-0.5763,-0.3494,0.1389,-0.2931,-0.6188,1.8696,0.12
2.76,-0.84,3.17,0.2957,2.0128,4.8431,2.2905,3.2912,4.0922,0.11
5.54,1.49,7.23,5.1159,7.2614,12.3431,3.2338,6.534,10.4726,0.11
5.7,1.73,3.72,6.5904,6.9002,10.5368,5.0344,5.2779,8.536,0.13
1.41,0.09,-2.83,1.5335,1.221,-0.2712,2.1461,1.7718,-1.7099,0.1
-2.15,-0.64,-4.22,-1.5282,-3.3762,-5.7158,-0.8251,-2.7981,-5.0832,0.11
4.86,-1.49,3.28,2.1115,3.6048,6.3065,4.2884,5.5419,6.6477,0.13
-2.34,-0.01,-1.33,-1.9624,-2.7064,-3.4091,-2.4581,-1.9328,-3.6696,0.12
-2.62,-1.95,-3.96,-4.0263,-4.9024,-7.342,-2.3135,-1.1889,-6.9084,0.12
6.94,-1.99,2.01,5.2668,4.9518,6.5919,6.5792,6.9162,9.2823,0.13
4.27,0.99,-0.16,5.8732,5.2669,4.8822,4.0954,4.184,4.7653,0.13
0.7,1.9,0.61,2.2931,2.7539,2.7022,0.4624,0.3219,1.2659,0.12
-2.53,-0.22,0.25,-2.2573,-1.7787,-3.4821,-3.9561,-0.6623,-2.2248,0.16
0.57,-0.29,-0.05,0.3506,0.3455,0.2907,0.6693,0.5669,0.6249,0.11
3.33,-2.25,-1.56,1.0172,0.8509,0.5225,4.1394,3.4766,1.5118,0.12
1.45,-0.61,1.54,1.527,1.6473,1.2641,0.2721,2.387,3.61,0.15
-2.62,0.79,-0.61,-2.195,-2.0913,-2.1261,-2.2927,-2.9175,-3.5748,0.12
4.44,-2.99,2.16,1.1618,2.1624,3.2151,4.2615,4.7218,6.5306,0.11
-4.97,0.48,-0.1,-4.8536,-4.953,-4.199,-4.7723,-5.0491,-5.6311,0.12
3.2,-1.01,0.08,2.1058,1.9472,2.5974,3.6566,2.7103,3.3169,0.13
3.83,-1.61,1.23,1.5252,2.7292,3.2212,3.7514,4.0351,4.5237,0.15
0.91,-0.4,-0.35,0.8361,1.4205,-0.3174,1.0727,0.5361,1.5237,0.15
-0.76,1.18,0.03,-0.0916,0.8096,0.148,-0.9349,-0.6304,-1.1121,0.15
-2.03,1.15,-1.51,0.0523,-0.9612,-2.273,-1.8631,-2.2201,-2.5603,0.16
-0.66,-1.06,-0.45,-0.8748,-1.7235,-2.1127,-0.891,-0.1034,-0.5433,0.14
5.94,-0.71,0.95,5.4491,5.4213,5.9587,6.171,5.2358,7.556,0.1
2.93,-1.48,0.18,1.7531,1.6431,1.5629,2.9814,2.8718,3.5387,0.16
-0.34,3.58,1.32,3.5896,3.3642,3.7589,-1.0742,-0.34,1.3916,0.16
-0.27,2.15,-0.08,1.1926,2.0721,1.6126,-0.3582,-0.2845,-0.9377,0.14
-1.43,-0.19,-0.8,-1.9015,-1.8785,-2.1671,-1.3895,-1.2492,-2.7282,0.18
-2.83,0.28,1.53,-3.2329,-2.4731,-1.2889,-3.1315,-2.7096,-2.0086,0.16
0.52,-0.07,0.23,0.5545,0.7233,0.5438,0.7211,0.1169,1.1868,0.17
-1.89,-1.86,-0.47,-3.3627,-3.4852,-4.1709,-1.884,-1.5219,-2.0203,0.18
2.4,-1.05,-0.24,0.6953,1.3692,1.317,2.8308,1.9698,1.7322,0.15
-4.52,0.36,-3.54,-3.3935,-5.4669,-6.4462,-4.1436,-4.0732,-8.1656,0.17
0.2,-0.85,-2.42,-0.1368,-1.0061,-2.4337,0.7417,0.0296,-1.8094,0.16
4.6,-1.37,-0.19,3.0105,3.5349,3.0379,4.9509,4.1985,4.5461,0.13
2.83,-1.29,-0.17,1.4691,2.0701,1.1969,3.2682,2.1535,3.1942,0.08
0.03,-0.84,-2.84,0.1369,-1.3982,-2.8699,0.394,0.2528,-2.2709,0.13
5.13,0.46,3.51,4.5332,6.5099,8.1348,4.354,5.6704,7.7723,0.11
1.67,-0.17,-0.28,1.0541,1.4299,1.3749,1.582,2.0858,0.6954,0.07
3.65,-0.49,-1.46,2.5696,3.0407,2.173,4.1635,3.441,1.6381,0.08
4.27,-3.48,-0.37,-0.3521,2.2054,0.2024,5.2146,3.3683,3.9125,0.09
3.09,0.39,2.46,3.8959,4.193,5.039,2.8109,2.5657,6.5909,0.05
1.07,0.41,-0.03,0.5534,1.7405,1.3282,1.7837,-0.3379,0.9549,0.06
4.99,1.07,4.11,5.5718,6.8341,9.0982,4.2498,5.0873,8.9441,0.05
-2.34,2.66,-1.36,-0.2356,0.1027,-0.9439,-3.038,-0.9906,-5.0417,0.05
6.39,-2.54,0.66,2.8751,4.5527,4.6003,6.774,6.5075,6.3743,0.09
-1.67,0.59,0.72,0.4476,-1.0466,-0.7721,-2.3868,-1.0134,0.2734,0.07
9.38,-2.62,4.36,7.092,8.8793,9.5441,9.4731,8.168,15.7386,0.06
5.48,2.14,5.71,7.3522,9.4169,11.3213,4.2078,5.7841,11.664,0.08
0.6,0.25,2.18,1.4591,1.1675,2.3063,-0.0364,0.7455,3.4699,0.08
3.02,1.54,0.62,3.6755,5.378,4.5534,2.9506,2.7122,3.3122,0.09
-0.16,-0.66,1.95,-0.7883,-0.41,0.5912,-0.4103,-0.3239,2.1127,0.1
3.11,-1.79,0.81,1.2409,1.0755,2.5318,3.9984,1.8877,4.3324,0.1
0.93,-0.29,-0.86,0.2977,0.4032,0.2634,1.7437,0.0416,0.0597,0.14
6.55,-4.65,1.92,1.9458,3.2877,3.4417,6.3912,7.4837,8.7422,0.1
1.9,-1.36,0.63,-1.7321,0.9639,1.1886,1.9484,2.2535,0.296,0.1
0.21,-0.38,0.58,-0.2301,0.4473,0.1004,0.4558,-0.2856,1.2874,0.16
-0.36,0.3,-1.06,-0.8822,-0.6371,-0.5094,0.0422,-0.5196,-2.459,0.16
-2.68,1.5,-0.03,-1.6184,-0.9446,-1.4678,-3.2571,-1.8015,-3.4638,0.18
7.03,-2.46,0.5,5.8272,4.6547,5.0892,7.8065,5.5965,9.5496,0.17
1.49,2.08,-2.24,3.2925,2.103,2.3879,1.7019,1.7156,-1.8827,0.18
-3.03,0.44,1.12,-2.5477,-2.277,-1.9359,-4.2057,-1.3101,-2.5754,0.22
3.77,-1.04,-0.53,1.7477,3.6028,2.1865,4.7775,2.6124,3.27,0.19
6.64,-2.42,-0.14,3.2822,3.647,4.9693,7.0208,7.0769,5.0485,0.15
0.28,0.07,-0.18,1.0924,0.6847,-0.1087,-0.2205,1.0584,0.6241,0.19
-5.2,1.5,-1.33,-3.628,-4.316,-4.7333,-5.3092,-5.0175,-6.855,0.23
3.48,-1.46,-1.32,0.8128,2.3388,1.1061,4.4805,2.6127,1.5512,0.2
4.84,-1.68,-0.01,3.0992,3.225,3.2509,4.8613,5.0699,4.687,0.22
-3.18,1.9,-0.71,-0.4472,-1.0666,-2.2925,-3.705,-2.5042,-3.2859,0.17
-5.14,1.56,1.79,-3.5853,-3.2009,-2.2973,-6.1415,-3.7761,-3.8591,0.18
0.52,-0.09,-0.06,0.9518,0.6685,0.1626,0.4294,0.525,1.0887,0.25
0.36,-0.22,1.78,-0.5204,-0.034,2.0384,-0.5947,2.3395,0.3981,0.2
3.16,-0.03,-2.1,4.0433,1.8589,1.9815,3.5674,2.9964,1.4231,0.24
-3.58,3.4,2.78,-1.0159,-0.1951,1.7732,-4.7266,-2.9407,-1.9617,0.27
-2.06,-0.72,-0.73,-3.0569,-3.4679,-2.9639,-1.7692,-2.2447,-3.329,0.24
2.13,0.27,-0.47,1.9872,2.3611,2.0443,2.4855,1.6054,1.4855,0.23
4.26,-1.6,-1.51,2.0468,2.046,1.9943,5.3545,3.1647,2.38,0.25
3.45,-1.07,-2.05,2.6671,1.038,1.4722,4.4886,2.3097,1.5809,0.26
-0.74,0.55,0.01,-0.1284,-1.4832,0.5049,-0.351,-1.4401,-0.9662,0.24
0.66,-0.76,0.38,-0.8345,0.4319,0.1256,0.9803,0.2342,0.7881,0.3
-5.11,0.06,-0.45,-5.1539,-4.6653,-5.4412,-5.7017,-3.4391,-6.313,0.25
-5.98,0.08,0.88,-7.3371,-5.1902,-5.3058,-6.585,-4.6155,-6.8624,0.26
-4.32,-2.52,-1.83,-8.4038,-5.9245,-8.5517,-4.0628,-3.6932,-7.5783,0.29
2.3,0.4,-2.9,2.9523,1.1561,0.8146,2.8182,1.7485,-0.839,0.28
-3.91,-0.93,-1.71,-4.7073,-4.8999,-6.1078,-4.1586,-2.5792,-6.1793,0.24
4.66,4.36,4.23,11.904,10.2101,11.6378,3.1188,5.7043,11.8409,0.28
-1.52,0.7,0.28,-1.7609,-0.6197,-0.6217,-1.9204,-0.6895,-2.5051,0.12
3.27,0.63,-0.92,4.8612,3.735,3.0235,3.3169,3.0986,3.3093,0.09
3.09,-0.59,1.46,3.214,1.5805,4.2424,3.2502,2.4077,5.1455,0.08
2.31,2.24,-0.35,6.4313,4.1105,4.1545,1.9559,2.4922,3.5354,0.11
2.93,-0.24,0.5,1.9192,3.2332,2.961,3.1137,2.6368,3.0805,0.03
4.39,0.47,3.12,4.1525,6.0585,7.0323,4.3171,3.8434,7.684,0.07
1.91,1.19,0.29,4.3207,3.0404,3.123,1.668,1.8055,3.4495,0.04
4.66,0.15,2.96,5.3195,4.0758,7.7795,4.567,4.1292,8.0299,0.19
2.53,1.13,-1.18,6.7733,2.6121,2.9042,2.4462,2.4927,3.9513,0.18
3.01,2.06,-1.29,7.5738,4.1426,3.9405,3.2442,1.9519,4.2924,0.11
5.15,-2.07,-0.05,2.5353,3.0321,3.4479,4.7556,6.7211,3.7524,0.22
0.71,3.02,2.98,4.2597,4.9234,5.4671,-0.8258,2.4992,3.928,0.21
0.95,1.49,1.05,2.2268,3.4814,2.5846,0.3372,1.391,2.0887,0.19
0.28,1.48,-0.35,1.389,1.4507,1.4935,0.5003,-0.2973,-0.3128,0.22
3.66,-0.58,-1.22,3.591,3.259,1.9625,4.5349,2.3128,3.7197,0.2
1.73,-2.15,1.87,-1.6158,0.255,1.205,2.5059,0.3762,3.4267,0.22
-0.25,0.68,1.33,1.4754,0.2985,1.6298,-0.6219,0.0856,1.8921,0.25
3.17,-0.32,0.26,1.8728,2.5942,3.3002,3.7408,2.1425,2.8328,0.25
-1.39,-0.78,0.44,-2.088,-1.3925,-2.1706,-1.5449,-1.1947,-0.5739,0.19
-4.8,-0.09,0.57,-5.7183,-4.8139,-4.2812,-5.3354,-3.5734,-5.6337,0.31
1.28,1.43,-2.05,3.597,2.3068,0.8057,1.1464,1.4512,-0.1681,0.3
1.6,1.24,-3.27,3.6264,1.7748,0.2701,2.7526,-0.362,-0.4325,0.26
2.45,-0.6,-0.03,3,2.0839,1.7485,2.6381,2.1716,3.82,0.34
-6.98,2.09,2.73,-6.1176,-3.5288,-3.2668,-8.5371,-4.7231,-5.9231,0.33
1.17,0.51,-1.99,1.7872,1.163,0.2115,1.0239,2.0003,-1.3829,0.29
-1.63,-0.51,-2.85,-2.6885,-2.7516,-4.1793,-1.2289,-1.4268,-5.4467,0.35
-1.71,0.31,-2.23,-0.1355,-2.3062,-3.1514,-1.7621,-1.5425,-3.2043,0.19
3.12,1.21,-3.76,5.0334,1.5539,2.103,4.04,1.5542,-0.5416,0.27
2.08,-0.22,-0.34,2.1079,2.4083,1.192,2.3269,1.4871,2.5593,0.24
-2.37,-0.52,2.03,-3.4876,-1.9816,-1.5832,-3.6069,-0.4127,-1.459,0.13
3.01,0.9,-0.19,3.9824,3.3514,4.0369,2.5678,3.9793,2.1376,0.17
-5.99,-1.12,1.58,-7.8731,-6.0237,-6.2548,-6.8952,-4.5266,-5.3593,0.16
-0.71,-3.97,2.6,-6.6599,-2.6269,-2.9966,-0.834,-0.2499,0.6997,0.22
4.69,0.34,-2.45,6.3368,4.8379,2.8727,5.2948,3.8659,3.8524,0.13
4.71,-1.56,-0.79,3.9697,3.2869,2.2383,3.4044,7.2178,3.5517,0.16
6.2,0.65,3.7,7.1391,7.5899,9.411,4.7262,7.5885,9.8609,0.19
3.57,3.97,-0.74,7.8174,6.159,7.2537,3.9041,2.4229,2.9911,0.14
2.89,3.23,-0.77,7.146,4.5572,5.7239,1.9715,3.8899,1.8627,0.2
0.29,0.13,2.05,0.8698,0.2216,2.1198,-0.4861,0.9497,2.3659,0.17
2.4,1.95,0.48,3.3133,4.797,4.6674,3.0187,1.3001,2.6189,0.18
-3.08,-2.48,-0.18,-6.0184,-4.7557,-5.7077,-2.4745,-3.4166,-3.1471,0.2
2.83,-1.88,-0.15,-0.6289,1.096,1.1138,2.9605,3.3406,0.9269,0.18
2.57,-1.81,-0.2,0.475,0.2141,0.9657,3.0699,1.8327,2.1778,0.14
-2.15,-1.13,-0.47,-5.0907,-3.3858,-3.402,-1.3228,-3.2071,-3.9548,0.17
2.57,-1.96,0.59,-0.282,3.0883,0.0774,2.1152,3.7065,2.9443,0.19
4.45,1.03,-0.88,5.7262,5.5858,4.5971,4.7203,4.0033,4.0925,0.15
-0.18,-1.12,2.21,-2.2286,0.0275,0.1844,-0.4,0.1444,1.5976,0.19
-3.87,1.86,4.98,-2.6341,-1.0599,1.9724,-5.2426,-2.167,0.1201,0.24
1.81,-1.18,0.89,0.4324,0.5386,1.5911,1.6725,2.1489,2.2867,0.2
-0.68,0.23,-1,-0.6472,-1.2645,-0.8306,-0.5525,-0.4942,-2.3742,0.2
-6.59,-0.99,0.48,-7.4436,-7.5468,-6.9963,-6.8504,-5.835,-6.3386,0.22
-8.65,-3.02,2.32,-11.5716,-10.543,-9.7866,-9.3256,-7.0616,-6.4618,0.24
-8.47,-0.76,2.79,-10.489,-7.7197,-7.2701,-9.2088,-7.144,-6.8481,0.2
6.28,1.61,-3.62,9.0269,5.565,6.2711,7.7955,4.9204,3.3191,0.27
2.13,1.25,-1.22,4.4024,3.251,2.2446,2.5065,1.4289,2.2151,0.23
-5.22,-2.49,1.31,-8.4256,-7.2828,-6.4378,-5.239,-4.8385,-4.613,0.21
-0.05,-4.01,1.35,-5.3298,-3.4799,-2.3314,0.3649,0.4467,0.0693,0.25
10.87,2.58,1.05,14.6701,13.3932,14.2039,11.0866,9.7807,13.6453,0.2
1.01,-3.8,0.34,-3.8188,-1.6587,-2.4111,1.3115,1.6105,0.5745,0.23
4.93,3.09,2.21,7.5048,7.878,9.6182,4.6607,4.091,6.9702,0.25
-2.38,0.48,2.24,-2.8531,-1.7595,-0.2179,-3.0287,-2.0555,-1.1763,0.23
3.08,-2.51,1.94,0.0581,1.4736,2.1704,3.1818,3.1136,4.9476,0.23
4.51,-1.32,1.03,3.3713,2.5525,4.615,4.6935,4.3055,5.5038,0.25
1.76,1.07,2.58,1.4057,3.0164,5.1792,2.0443,0.9192,3.4326,0.24
-2,-0.26,0.72,-1.5495,-2.1978,-1.9684,-2.5486,-1.6921,-0.6815,0.23
-0.39,-0.55,-0.81,-1.3481,-0.8844,-1.4062,-0.2996,0.1769,-1.8658,0.27
5.07,-0.95,1.65,4.2008,4.2168,5.4897,5.1537,4.4332,7.1585,0.25
-1.57,-0.3,0.19,-3.3362,-0.7801,-2.195,-1.3208,-2.0002,-2.0768,0.27
2.53,-0.54,-0.09,0.8722,1.4415,2.428,3.5702,0.9508,1.8438,0.29
-0.85,-1.13,1.71,-3.1356,-1.5446,-0.5962,-0.5213,-1.7268,0.358,0.27
1.83,-1.96,-0.1,0.0633,0.2227,-0.02,1.7616,2.7522,1.6382,0.29
2.24,-0.19,1.61,0.4687,2.3368,3.7384,2.3802,2.3995,2.3322,0.3
1.54,0.09,2.82,1.3244,1.86,3.8925,1.1606,1.4206,4.2277,0.26
1.41,0.99,3.34,0.2998,3.736,4.9226,0.6106,2.7213,2.6685,0.31
0.1,-1.36,-0.53,-1.983,-0.6004,-1.7206,0.1321,0.8392,-1.1912,0.29
1.42,-0.9,1.96,0.6613,0.8538,1.8917,1.2755,0.8648,3.9742,0.26
1.27,-0.26,0.68,1.0068,1.0056,1.6673,1.3729,1.0204,2.0624,0.3
1.74,0.23,0.7,1.2617,2.623,2.3539,1.6101,2.0082,1.9219,0.3
-1.44,0.09,0.09,-1.7447,-0.6923,-1.4988,-1.5044,-1.137,-1.5742,0.28
2.69,-0.51,1.64,3.208,2.5091,3.3228,2.0659,3.2845,5.2335,0.28
0.59,0.45,1.15,0.7447,1.096,2.0146,-0.0012,1.4837,1.0298,0.29
0,0.61,-1.99,-0.3599,-0.6852,-0.202,0.2087,0.6548,-3.9372,0.29
0.03,-0.25,-2.55,0.1003,-1.1219,-1.8497,0.8129,-0.6062,-2.3415,0.31
3.54,2.68,0.19,6.6301,5.6344,6.3421,3.6665,2.5674,4.3425,0.28
0.44,3.48,0.19,3.3881,3.0866,4.0283,0.2709,-0.2072,0.0012,0.3
-1.34,1.78,1.07,0.5513,0.2032,1.1548,-1.5137,-1.9625,0.0321,0.36
3.11,1.19,0.7,2.6796,4.1176,5.034,3.511,2.1793,2.5586,0.31
-0.77,0.03,-1.61,-0.3905,-1.2446,-1.6502,-0.5777,-0.2506,-2.544,0.31
-5.51,-4.35,0.58,-10.302,-9.1584,-8.9442,-4.92,-5.3046,-5.1254,0.35
1.43,0.87,2.17,2.2354,2.7614,3.7775,1.0274,1.3166,3.8197,0.31
2.73,2.84,-1.04,6.4091,4.6132,4.7627,2.6118,2.4835,2.174,0.33
2.86,0.63,-0.14,3.5737,3.5001,3.5055,3.482,1.9266,3.2759,0.31
2.6,2.48,1.5,5.6603,5.0978,6.0047,2.5274,1.6232,5.1795,0.31
-0.03,4.69,0.2,3.6727,4.5311,4.359,-0.3636,-0.4961,-0.6472,0.35
1.01,2.09,1.99,3.5368,3.2482,4.3046,0.5182,0.5629,3.7373,0.33
0.72,3.86,3.54,3.9187,5.2369,6.5339,-0.579,0.8132,3.889,0.38
-1.21,4.46,0.39,3.3264,2.7876,3.1468,-1.9564,-1.1648,-0.9984,0.35
-2.51,0.94,-2.03,-0.8277,-3.2734,-2.424,-1.921,-3.0453,-4.3893,0.38
2.14,3.43,-0.5,5.3355,4.4944,5.1994,2.0676,1.4694,1.2107,0.34
-5.66,-4.67,-1.61,-10.3723,-10.4125,-10.7367,-4.601,-5.4691,-7.4564,0.41
-1.44,1.05,0.51,0.4433,-0.2779,-0.398,-2.3947,-0.4561,-0.5331,0.38
-1.63,-0.38,0.93,-2.5227,-1.9244,-1.1148,-1.9647,-0.9471,-1.5216,0.35
-7.91,-3.33,0.59,-11.8048,-10.2197,-10.8583,-8.0597,-7.0001,-7.8189,0.41
-1.06,-1.1,0.54,-2.4502,-1.4178,-1.8886,-1.3802,-0.2122,-0.8714,0.4
3.86,-6.63,2.9,-4.3971,-0.504,-0.601,2.7926,6.8065,4.788,0.45
1.4,4.37,-4.64,7.3054,4.3284,2.3485,3.3231,-1.4338,-1.0045,0.4
0.13,1.89,-1.34,3.1942,2.2061,0.12,-0.764,1.0002,-0.372,0.4
8.15,8.47,1.9,17.9375,15.6841,17.217,7.4909,5.9314,12.0042,0.43
0.78,3.36,-2.23,4.378,2.4703,2.8846,1.6603,-0.7206,-1.2966,0.36
3.99,1.74,0.18,5.6765,6.1342,5.295,3.8809,3.3684,4.6296,0.39
3.89,0.6,-2.61,5.2935,3.6015,2.8995,5.6679,1.4754,2.8424,0.32
-4.33,2,0.83,-1.8907,-1.3107,-2.7768,-5.3257,-3.8773,-2.7774,0.33
2.41,6.01,0.88,9.2586,7.8793,8.0271,1.1638,1.823,4.1588,0.27
4.58,3.08,2.65,6.9135,7.1768,9.8629,4.6021,3.1656,6.9523,0.31
-0.89,0.47,1.46,-0.7599,0.4681,0.2696,-1.0637,-1.2164,0.8368,0.31
3.11,3.1,-2.47,6.5446,4.9791,4.3734,3.4905,2.3684,0.7312,0.32
-3.09,1.42,-3.39,-1.1662,-2.6839,-3.872,-1.8783,-4.1501,-5.9454,0.39
0.37,0.2,-1.71,0.9315,1.0078,-1.2113,0.7332,-0.0721,-0.5445,0.36
3.05,5.73,-0.39,10.5565,7.1766,7.8971,1.8221,2.9051,3.7051,0.33
-4.06,3.91,4.75,-1.7955,0.4374,3.011,-6.5768,-1.6258,-1.8761,0.4
-3.75,-2.95,1.17,-7.8086,-5.4627,-5.4778,-3.7054,-2.4878,-3.7047,0.39
0.2,-1.28,-0.59,-1.1633,-1.451,-0.8923,1.4501,-1.1013,-0.0005,0.38
9.05,5.73,-1.03,16.7283,13.8974,12.903,9.7978,4.9545,11.5729,0.43
2.28,6.43,0.84,9.3366,7.8143,8.4477,2.0155,-0.3041,4.5888,0.45
0.69,-0.17,0.67,-0.6152,1.0243,1.0335,-0.445,3.1563,-0.7576,0.43
-2.72,-1.3,5.48,-6.2794,-2.7561,-0.2618,-4.9976,-0.3526,-0.0501,0.48
1.34,2.34,1,3.5311,2.9369,4.2854,0.7486,0.9801,1.9967,0.42
4.03,2.76,0.24,6.9532,6.4464,5.9921,2.9122,3.8453,4.3439,0.43
0.42,-0.47,2.89,-1.0709,1.7314,0.9002,-1.0314,1.2152,2.7862,0.44
5.43,2.36,-0.9,8.1177,7.845,6.3525,5.0741,5.1429,5.0321,0.42
-3.94,3.44,0.02,-0.1553,-0.9141,-1.5029,-5.2401,-3.7809,-3.8588,0.43
-1.25,-0.78,1.69,-2.3089,-1.5902,-1.2344,-2.3613,-0.3826,-0.0479,0.53
-5.84,-3.89,0.9,-10.8501,-8.561,-7.9591,-4.4036,-5.8116,-5.4868,0.46
2.64,-0.25,-0.46,2.5956,1.7836,2.7335,3.4366,2.0493,2.3856,0.46
1.46,-0.88,0.03,0.2884,1.3146,0.6924,2.7062,-0.1443,2.3717,0.53
-0.1,-0.27,0.73,-0.752,0.282,-0.3547,-0.6356,0.199,0.4203,0.48
-7.18,-5.39,-1.09,-12.7266,-11.6431,-11.4948,-3.94,-8.4165,-7.3463,0.51
-7,-3.21,1.42,-11.8347,-9.9689,-7.8156,-5.3598,-8.087,-6.5412,0.53
4.68,0.94,-3.87,6.8535,4.9702,3.2053,6.2044,3.8802,2.1219,0.5
-2.98,1.2,-3.19,-1.1555,-2.6451,-3.3491,-1.1845,-4.1782,-5.3788,0.62
5.06,3.81,-3.19,10.4171,7.353,6.4784,5.6372,3.9632,3.2048,0.6
-3.79,-2.53,-1.12,-6.0736,-5.6625,-6.9308,-2.6573,-4.3591,-4.0468,0.52
-2.63,-3.67,-3.02,-5.743,-5.8496,-7.3015,-0.4724,-2.4669,-4.9582,0.64
-8.1,2.9,3.04,-6.6745,-5.7124,-2.9747,-8.6621,-9.1096,-6.2797,0.6
5.13,-2.4,4.04,1.9603,2.906,5.5794,2.9858,7.2264,7.4437,0.62
-1.06,-2.32,4.25,-5.8784,-1.6775,-0.4205,-2.4799,0.8991,0.5548,0.57
-11,-6.11,6.39,-21.3565,-14.424,-11.6768,-11.0894,-10.048,-7.9793,0.5
-6.92,-4.52,3.6,-11.944,-11.056,-8.5267,-8.5179,-4.6948,-4.7396,0.53
-5.79,-2.16,0.87,-9.603,-7.5187,-6.5392,-6.0099,-3.8538,-7.328,0.58
6.93,-0.53,0.98,7.0311,6.2945,6.2609,4.6136,9.2331,7.3346,0.52
4.49,1.53,1.04,5.7439,6.453,6.042,3.5566,4.7508,5.3455,0.53
4.18,8.59,-5.62,16.6052,10.1998,8.8008,6.757,-0.2489,3.328,0.54
-2.28,-4.29,0.26,-7.3191,-7.4047,-4.6113,-1.1078,-2.0415,-3.3024,0.46
4.59,-4.07,1.64,-0.0315,1.4579,2.0844,4.6619,5.2212,5.8244,0.46
5.72,2.96,0.98,7.5035,9.1559,8.9081,4.9196,6.2956,5.4848,0.42
4.84,7.36,1.36,10.0675,12.5421,12.1831,4.3239,3.4531,4.9355,0.38
1.41,1.85,-1.33,4.293,2.9188,2.0315,2.0422,0.0139,1.6489,0.33
4.13,2.54,-4.04,8.5668,4.835,4.3812,5.6343,2.781,1.7383,0.3
3.15,-0.47,0.75,2.7439,3.6445,3.1102,3.7034,2.3507,4.8395,0.28
-3.98,-1.08,-1.36,-4.5449,-5.6794,-5.4197,-3.0024,-4.5586,-4.8421,0.29
-0.1,-1.43,-2.07,0.2317,-2.0805,-2.6336,0.7739,-0.4668,-0.5023,0.37
-4.5,-1.51,0.17,-7.2923,-4.7205,-6.2675,-4.59,-3.8957,-5.2793,0.4
3.79,-0.16,2.67,3.9151,3.1904,6.2637,5.088,0.6882,8.0757,0.47
-0.85,0.41,-2.96,0.4578,-1.1181,-2.5647,0.0253,-1.5959,-2.8723,0.37
-4.42,-1.8,-0.43,-6.6125,-4.6524,-6.967,-4.2339,-3.8478,-4.7457,0.37
-0.46,-2.85,-1.7,-3.2504,-2.6389,-4.5202,0.5125,-0.7595,-1.6116,0.37
8.71,3.32,-0.35,13.1872,10.7288,11.9524,8.6531,8.0688,9.1853,0.37
2.49,6.12,1.99,8.9491,6.3621,10.3935,2.3854,0.0436,4.9169,0.29
2.87,1.37,-2.76,4.6232,2.7516,2.5203,4.2256,0.7456,0.81,0.25
0.63,-0.26,-1.73,1.252,-0.4061,-0.795,1.9345,-1.6196,0.5167,0.27
0.29,0.02,0.23,0.0917,0.8708,0.1461,0.4231,-0.1916,0.8235,0.29
1.25,-2.79,-2.69,-2.0621,-1.5886,-3.0892,2.7172,0.5582,-1.6384,0.3
-2.43,0.34,-2.51,-3.6078,-2.9475,-3.3801,-1.3133,-3.0604,-6.5708,0.29
-0.8,-2.89,0.78,-5.5298,-3.4048,-2.3121,0.2524,-1.4085,-1.4141,0.31
3.26,-4.09,4.69,-1.2305,1.7634,2.2291,1.1361,6.8372,7.0616,0.29
-1.14,-2.66,0.47,-3.762,-3.0756,-3.4988,-0.8063,-1.4181,-0.1212,0.34
0.52,-2.74,1.37,-3.0305,-0.5358,-1.4478,0.0937,1.8641,1.251,0.4
4.6,-1.1,4.76,3.2755,5.4158,6.0506,2.5875,6.1267,9.3347,0.37
0.62,-1.86,-2.27,-1.3,-1.4668,-2.6178,2.268,-1.1159,-0.9501,0.37
-3.29,-3.49,2.68,-8.2876,-5.5505,-4.137,-3.0596,-2.5813,-1.8541,0.44
-4.85,-4,1.7,-11.5387,-8.1594,-6.2662,-3.4016,-5.2938,-5.2759,0.41
-1.3,-2.82,2.78,-4.7059,-3.0179,-1.7132,-1.7803,0.0168,0.7816,0.46
